FYEAR,CO,AB,DIS,FACID,DEV,PROID,SCC,SIC,EIC,POL,EMS
2012,1,SF,BA,0,0,74476412107010,74476412107010,74476412107010,74476412107010,42101,0.7317240121544245464
2012,1,SF,BA,0,0,74476412107010,74476412107010,74476412107010,74476412107010,7664417,0.015305081
2012,1,SF,BA,0,0,74476412107011,74476412107011,74476412107011,74476412107011,42101,5.959309149502900776
2012,1,SF,BA,0,0,74476412107011,74476412107011,74476412107011,74476412107011,7664417,0.125237487
2012,1,SF,BA,0,0,74476412107012,74476412107012,74476412107012,74476412107012,42101,0.487406110430120544
2012,1,SF,BA,0,0,74476412107012,74476412107012,74476412107012,74476412107012,7664417,0.027510443
2012,1,SF,BA,0,0,74476512107000,74476512107000,74476512107000,74476512107000,42101,0.346579891221608616
2012,1,SF,BA,0,0,74476512107001,74476512107001,74476512107001,74476512107001,42101,0.014827640890788496992
2012,1,SF,BA,0,0,74476512107004,74476512107004,74476512107004,74476512107004,42101,0.03530870373394184184
2012,1,SF,BA,0,0,74476512107005,74476512107005,74476512107005,74476512107005,42101,1.040329748776675344
2012,1,SF,BA,0,0,74476512107006,74476512107006,74476512107006,74476512107006,42101,1.092791355853651896
2012,1,SF,BA,0,0,74476512107007,74476512107007,74476512107007,74476512107007,42101,3.145438966002397584
2012,1,SF,BA,0,0,74476512107008,74476512107008,74476512107008,74476512107008,42101,5.48605926644482512
2012,1,SF,BA,0,0,74476512107009,74476512107009,74476512107009,74476512107009,42101,0.007865058452743542024
2012,1,SF,BA,0,0,74476512107010,74476512107010,74476512107010,74476512107010,42101,0.020230560282169614
2012,1,SF,BA,0,0,74476512107011,74476512107011,74476512107011,74476512107011,42101,1.1428064557639144272
2012,1,SF,BA,0,0,74476512107012,74476512107012,74476512107012,74476512107012,42101,0.07543889293383208272
2012,1,SF,BA,0,0,74676412107013,74676412107013,74676412107013,74676412107013,42101,10.094771440693042272
2012,1,SF,BA,0,0,74676412107013,74676412107013,74676412107013,74676412107013,7664417,0.03868597
2012,1,SF,BA,0,0,74676412107016,74676412107016,74676412107016,74676412107016,42101,222.6367881159666192
2012,1,SF,BA,0,0,74676412107016,74676412107016,74676412107016,74676412107016,7664417,2.122397855
2012,1,SF,BA,0,0,74676412107017,74676412107017,74676412107017,74676412107017,42101,36.57341360511496944
2012,1,SF,BA,0,0,74676412107017,74676412107017,74676412107017,74676412107017,7664417,0.321646882
2012,1,SF,BA,0,0,74676412107018,74676412107018,74676412107018,74676412107018,42101,200.2047619228198464
2012,1,SF,BA,0,0,74676412107018,74676412107018,74676412107018,74676412107018,7664417,2.631775981
2012,1,SF,BA,0,0,74676412107019,74676412107019,74676412107019,74676412107019,42101,84.28510724409373728
2012,1,SF,BA,0,0,74676412107019,74676412107019,74676412107019,74676412107019,7664417,0.838346527
2012,1,SF,BA,0,0,74676412107020,74676412107020,74676412107020,74676412107020,42101,14.97913212249189216
2012,1,SF,BA,0,0,74676412107020,74676412107020,74676412107020,74676412107020,7664417,0.21812513
2012,1,SF,BA,0,0,74676412107021,74676412107021,74676412107021,74676412107021,42101,54.1587374430090144
2012,1,SF,BA,0,0,74676412107021,74676412107021,74676412107021,74676412107021,7664417,0.859863938
2012,1,SF,BA,0,0,74676412107024,74676412107024,74676412107024,74676412107024,42101,0.0000000901949143169947392
2012,1,SF,BA,0,0,74676412107025,74676412107025,74676412107025,74676412107025,42101,17.11546496648335464
2012,1,SF,BA,0,0,74676412107025,74676412107025,74676412107025,74676412107025,7664417,0.147733055
2012,1,SF,BA,0,0,74676412107026,74676412107026,74676412107026,74676412107026,42101,82.63823812279920768
2012,1,SF,BA,0,0,74676412107026,74676412107026,74676412107026,74676412107026,7664417,0.67890257
2012,1,SF,BA,0,0,74676412107027,74676412107027,74676412107027,74676412107027,42101,77.22507950475849336
2012,1,SF,BA,0,0,74676412107027,74676412107027,74676412107027,74676412107027,7664417,0.832058163
2012,1,SF,BA,0,0,74676412107028,74676412107028,74676412107028,74676412107028,42101,17.39053360261390368
2012,1,SF,BA,0,0,74676412107028,74676412107028,74676412107028,74676412107028,7664417,0.300038257
2012,1,SF,BA,0,0,74676412107029,74676412107029,74676412107029,74676412107029,42101,486.057066777748752
2012,1,SF,BA,0,0,74676412107029,74676412107029,74676412107029,74676412107029,7664417,3.890221498
2012,1,SF,BA,0,0,74676412107030,74676412107030,74676412107030,74676412107030,42101,91.4869743705879468
2012,1,SF,BA,0,0,74676412107030,74676412107030,74676412107030,74676412107030,7664417,0.620360858
2012,1,SF,BA,0,0,74676412107031,74676412107031,74676412107031,74676412107031,42101,0.789375175744775568
2012,1,SF,BA,0,0,74676412107031,74676412107031,74676412107031,74676412107031,7664417,0.022532948
2012,1,SF,BA,0,0,74676412107032,74676412107032,74676412107032,74676412107032,42101,30.31182252092680608
2012,1,SF,BA,0,0,74676412107032,74676412107032,74676412107032,74676412107032,7664417,0.134804532
2012,1,SF,BA,0,0,74676512107013,74676512107013,74676512107013,74676512107013,42101,1.290766142539031808
2012,1,SF,BA,0,0,74676512107016,74676512107016,74676512107016,74676512107016,42101,13.47837575146396152
2012,1,SF,BA,0,0,74676512107017,74676512107017,74676512107017,74676512107017,42101,1.878311185930006776
2012,1,SF,BA,0,0,74676512107018,74676512107018,74676512107018,74676512107018,42101,15.42863272260205896
2012,1,SF,BA,0,0,74676512107019,74676512107019,74676512107019,74676512107019,42101,6.50447744355601608
2012,1,SF,BA,0,0,74676512107020,74676512107020,74676512107020,74676512107020,42101,0.543923147065834068
2012,1,SF,BA,0,0,74676512107021,74676512107021,74676512107021,74676512107021,42101,4.305370187095212768
2012,1,SF,BA,0,0,74676512107024,74676512107024,74676512107024,74676512107024,42101,0.000000008529330777525747696
2012,1,SF,BA,0,0,74676512107025,74676512107025,74676512107025,74676512107025,42101,13.48768896685846272
2012,1,SF,BA,0,0,74676512107026,74676512107026,74676512107026,74676512107026,42101,4.57356119738121864
2012,1,SF,BA,0,0,74676512107027,74676512107027,74676512107027,74676512107027,42101,4.838815491023774208
2012,1,SF,BA,0,0,74676512107028,74676512107028,74676512107028,74676512107028,42101,2.465500754327783328
2012,1,SF,BA,0,0,74676512107029,74676512107029,74676512107029,74676512107029,42101,11.161863409652022288
2012,1,SF,BA,0,0,74676512107030,74676512107030,74676512107030,74676512107030,42101,3.589623794506753224
2012,1,SF,BA,0,0,74676512107031,74676512107031,74676512107031,74676512107031,42101,1.083116329484034768
2012,1,SF,BA,0,0,75070111000000,75070111000000,75070111000000,75070111000000,42101,170.8230644906143515
2012,1,SF,BA,0,0,75070611000000,75070611000000,75070611000000,75070611000000,42101,1867.604575381065023
2012,1,SF,BA,0,0,75070611000000,75070611000000,75070611000000,75070611000000,7664417,0.269032167
2012,1,SF,BA,0,0,75073111000000,75073111000000,75073111000000,75073111000000,42101,42.70022643284505631
2012,1,SF,BA,0,0,75073411000000,75073411000000,75073411000000,75073411000000,42101,473.585333767465649
2012,1,SF,BA,0,0,75073411000000,75073411000000,75073411000000,75073411000000,7664417,0.326574916
2012,1,SF,BA,0,0,76076412100000,76076412100000,76076412100000,76076412100000,42101,512.1634680164697477
2012,1,SF,BA,0,0,76076412100000,76076412100000,76076412100000,76076412100000,7664417,1.548053034
2012,1,SF,BA,0,0,76270111000000,76270111000000,76270111000000,76270111000000,42101,0.2992481612019777063
2012,1,SF,BA,0,0,76270611000000,76270611000000,76270611000000,76270611000000,42101,25.8912366457587936
2012,1,SF,BA,0,0,76270611000000,76270611000000,76270611000000,76270611000000,7664417,0.00060158
2012,1,SF,BA,0,0,76273111000000,76273111000000,76273111000000,76273111000000,42101,10.196472871300036818
2012,1,SF,BA,0,0,76273411000000,76273411000000,76273411000000,76273411000000,42101,94.84510654369279431
2012,1,SF,BA,0,0,76273411000000,76273411000000,76273411000000,76273411000000,7664417,0.238415997
2012,1,SF,BA,0,0,77170111000000,77170111000000,77170111000000,77170111000000,42101,1.4717136831478178055
2012,1,SF,BA,0,0,77170611000000,77170611000000,77170611000000,77170611000000,42101,31.000381976032905
2012,1,SF,BA,0,0,77170611000000,77170611000000,77170611000000,77170611000000,7664417,0.001017985
2012,1,SF,BA,0,0,77170711000000,77170711000000,77170711000000,77170711000000,42101,0.2676132391111482747
2012,1,SF,BA,0,0,77173111000000,77173111000000,77173111000000,77173111000000,42101,5.881497317940992079
2012,1,SF,BA,0,0,77173411000000,77173411000000,77173411000000,77173411000000,42101,17.41297368011461098
2012,1,SF,BA,0,0,77173411000000,77173411000000,77173411000000,77173411000000,7664417,0.050925692
2012,1,SF,BA,0,0,77173511000000,77173511000000,77173511000000,77173511000000,42101,1.7266047131145907395
2012,1,SF,BA,0,0,77276412100000,77276412100000,77276412100000,77276412100000,42101,3.82340427356319552
2012,1,SF,BA,0,0,77276412100000,77276412100000,77276412100000,77276412100000,7664417,0.050480016
2012,1,SF,BA,0,0,77276512100000,77276512100000,77276512100000,77276512100000,42101,0.7958532270476147118
2012,1,SF,BA,0,0,77770111000000,77770111000000,77770111000000,77770111000000,42101,3.453146848760544066
2012,1,SF,BA,0,0,77770611000000,77770611000000,77770611000000,77770611000000,42101,3.499855414144811964
2012,1,SF,BA,0,0,77770611000000,77770611000000,77770611000000,77770611000000,7664417,0.000115068
2012,1,SF,BA,0,0,77770711000000,77770711000000,77770711000000,77770711000000,42101,0.01145940088644277149
2012,1,SF,BA,0,0,77773111000000,77773111000000,77773111000000,77773111000000,42101,50.4281580054763029
2012,1,SF,BA,0,0,77773411000000,77773411000000,77773411000000,77773411000000,42101,50.96627788409317215
2012,1,SF,BA,0,0,77773411000000,77773411000000,77773411000000,77773411000000,7664417,0.531568311
2012,1,SF,BA,0,0,77773511000000,77773511000000,77773511000000,77773511000000,42101,1.039115229588467664
2012,1,SF,BA,0,0,77876412100000,77876412100000,77876412100000,77876412100000,42101,8.40249248789021616
2012,1,SF,BA,0,0,77876412100000,77876412100000,77876412100000,77876412100000,7664417,0.092205055
2012,1,SF,BA,0,0,77876512100000,77876512100000,77876512100000,77876512100000,42101,1.28482129242984906
2012,1,SF,BA,0,0,77976412100000,77976412100000,77976412100000,77976412100000,42101,11.5179873407332204
2012,1,SF,BA,0,0,77976412100000,77976412100000,77976412100000,77976412100000,7664417,0.222696272
2012,1,SF,BA,0,0,77976512100000,77976512100000,77976512100000,77976512100000,42101,0.332781009672008246
2012,1,SF,BA,0,0,78070111000000,78070111000000,78070111000000,78070111000000,42101,0.7872016992504579204
2012,1,SF,BA,0,0,78070611000000,78070611000000,78070611000000,78070611000000,42101,92.78462390022248352
2012,1,SF,BA,0,0,78070611000000,78070611000000,78070611000000,78070611000000,7664417,0.003050577
2012,1,SF,BA,0,0,78073111000000,78073111000000,78073111000000,78073111000000,42101,1.851074327000628843
2012,1,SF,BA,0,0,78073411000000,78073411000000,78073411000000,78073411000000,42101,98.19785165678174592
