FYEAR,CO,AB,DIS,FACID,DEV,PROID,SCC,SIC,EIC,POL,EMS
2017,5,MC,CAL,0,0,74476412107011,74476412107011,74476412107011,74476412107011,7664417,0.010954273
2017,5,MC,CAL,0,0,74476412107012,74476412107012,74476412107012,74476412107012,7664417,0.000687235
2017,5,MC,CAL,0,0,74676412107013,74676412107013,74676412107013,74676412107013,7664417,0.001119493
2017,5,MC,CAL,0,0,74676412107016,74676412107016,74676412107016,74676412107016,7664417,0.053087212
2017,5,MC,CAL,0,0,74676412107017,74676412107017,74676412107017,74676412107017,7664417,0.001473465
2017,5,MC,CAL,0,0,74676412107018,74676412107018,74676412107018,74676412107018,7664417,0.065828209
2017,5,MC,CAL,0,0,74676412107019,74676412107019,74676412107019,74676412107019,7664417,0.020969433
2017,5,MC,CAL,0,0,74676412107021,74676412107021,74676412107021,74676412107021,7664417,0.002958259
2017,5,MC,CAL,0,0,74676412107025,74676412107025,74676412107025,74676412107025,7664417,0.014406564
2017,5,MC,CAL,0,0,74676412107026,74676412107026,74676412107026,74676412107026,7664417,0.050620265
2017,5,MC,CAL,0,0,74676412107027,74676412107027,74676412107027,74676412107027,7664417,0.003811661
2017,5,MC,CAL,0,0,74676412107028,74676412107028,74676412107028,74676412107028,7664417,0.007337394
2017,5,MC,CAL,0,0,74676412107029,74676412107029,74676412107029,74676412107029,7664417,0.016986018
2017,5,MC,CAL,0,0,74676412107030,74676412107030,74676412107030,74676412107030,7664417,0.002841875
2017,5,MC,CAL,0,0,74676412107031,74676412107031,74676412107031,74676412107031,7664417,0.000114393
2017,5,MC,CAL,0,0,74676412107032,74676412107032,74676412107032,74676412107032,7664417,0.010051282
2017,1,SF,BA,0,0,71070611000000,71070611000000,71070611000000,71070611000000,7664417,0.031107538
2017,1,SF,BA,0,0,71073411000000,71073411000000,71073411000000,71073411000000,7664417,204.870112329
2017,1,SF,BA,0,0,71076412100000,71076412100000,71076412100000,71076412100000,7664417,0.252022756
2017,1,SF,BA,0,0,72270611000000,72270611000000,72270611000000,72270611000000,7664417,0.009405848
2017,1,SF,BA,0,0,72273411000000,72273411000000,72273411000000,72273411000000,7664417,20.402593851
2017,1,SF,BA,0,0,72276412100000,72276412100000,72276412100000,72276412100000,7664417,0.002151855
2017,2,GBV,GBU,0,0,74476412107006,74476412107006,74476412107006,74476412107006,7664417,0.000291957
2017,2,GBV,GBU,0,0,74476412107007,74476412107007,74476412107007,74476412107007,7664417,0.000498557
2017,2,GBV,GBU,0,0,74476412107008,74476412107008,74476412107008,74476412107008,7664417,0.001914624
2017,2,GBV,GBU,0,0,74476412107009,74476412107009,74476412107009,74476412107009,7664417,0.000063707
2017,2,GBV,GBU,0,0,74476412107010,74476412107010,74476412107010,74476412107010,7664417,0.000195564
2017,2,GBV,GBU,0,0,74476412107011,74476412107011,74476412107011,74476412107011,7664417,0.001223369
2017,2,GBV,GBU,0,0,74476412107012,74476412107012,74476412107012,74476412107012,7664417,0.000021115
2017,2,GBV,GBU,0,0,74676412107013,74676412107013,74676412107013,74676412107013,7664417,0.000385778
2017,2,GBV,GBU,0,0,74676412107016,74676412107016,74676412107016,74676412107016,7664417,0.035866994
2017,2,GBV,GBU,0,0,74676412107017,74676412107017,74676412107017,74676412107017,7664417,0.000162577
2017,2,GBV,GBU,0,0,74676412107018,74676412107018,74676412107018,74676412107018,7664417,0.044475117
2017,2,GBV,GBU,0,0,74676412107019,74676412107019,74676412107019,74676412107019,7664417,0.014167452
2017,2,GBV,GBU,0,0,74676412107025,74676412107025,74676412107025,74676412107025,7664417,0.003701344
2017,2,GBV,GBU,0,0,74676412107027,74676412107027,74676412107027,74676412107027,7664417,0.000420565
2017,2,GBV,GBU,0,0,74676412107028,74676412107028,74676412107028,74676412107028,7664417,0.000179062
2017,2,GBV,GBU,0,0,74676412107029,74676412107029,74676412107029,74676412107029,7664417,0.01008953
