REGION,Day,DOW,LD,LM,HH,SBUS
37,6,fri,1.064901,1.038545,0.97319,1
37,7,sat,0.883842,0.622271,0.501739,0
37,8,holi,0.808875,0.831557,0.852498,0
38,1,sun,0.796442,0.531875,0.341459,0
38,2,mon,0.963483,0.927995,0.882259,1
38,3,tuth,1,1,1,1
38,6,fri,1.067028,1.021742,0.982363,1
38,7,sat,0.928491,0.665129,0.445944,0
38,8,holi,0.807724,0.784768,0.784666,0
39,1,sun,0.79679,0.495819,0.324035,0
39,2,mon,0.948027,0.91867,0.893196,1
39,3,tuth,1,1,1,1
39,6,fri,1.050755,1.014307,0.95912,1
39,7,sat,0.928747,0.61767,0.368863,0
39,8,holi,0.797451,0.866195,0.828714,0
40,1,sun,0.778826,0.51929,0.375684,0
40,2,mon,0.94296,0.926513,0.873446,1
40,3,tuth,1,1,1,1
40,6,fri,1.047571,1.022573,0.982363,1
40,7,sat,0.924251,0.665361,0.470516,0
40,8,holi,0.788233,0.826625,0.799189,0
41,1,sun,0.778826,0.51929,0.375684,0
41,2,mon,0.94296,0.926513,0.873446,1
41,3,tuth,1,1,1,1
41,6,fri,1.047571,1.022573,0.982363,1
41,7,sat,0.924251,0.665361,0.470516,0
41,8,holi,0.788233,0.826625,0.799189,0
42,1,sun,1.027545,0.624145,0.392338,0
42,2,mon,0.98927,0.94963,0.894624,1
42,3,tuth,1,1,1,1
42,6,fri,1.125866,1.041329,0.9878,1
42,7,sat,1.118159,0.742824,0.439588,0
42,8,holi,0.952331,0.905023,0.847096,0
43,1,sun,0.852111,0.521917,0.38976,0
43,2,mon,0.928254,0.896939,0.887505,1
43,3,tuth,1,1,1,1
43,6,fri,1.050176,1.002184,0.980167,1
43,7,sat,0.957389,0.639451,0.4519,0
43,8,holi,0.783082,0.810588,0.840396,0
44,1,sun,0.714053,0.439371,0.32412,0
44,2,mon,0.925523,0.890257,0.886946,1
44,3,tuth,1,1,1,1
44,6,fri,1.019746,0.98257,0.978294,1
44,7,sat,0.834529,0.549595,0.401989,0
44,8,holi,0.780145,0.742024,0.766922,0
45,1,sun,0.733849,0.488946,0.343284,0
45,2,mon,0.953717,0.908678,0.905827,1
45,3,tuth,1,1,1,1
45,6,fri,1.041541,1.004055,0.953315,1
45,7,sat,0.85294,0.614185,0.399739,0
45,8,holi,0.765052,0.833732,0.80725,0
46,1,sun,1.007962,0.589339,0.359546,0
46,2,mon,0.979063,0.948271,0.887058,1
46,3,tuth,1,1,1,1
46,6,fri,1.129948,1.032779,0.968773,1
46,7,sat,1.090781,0.719439,0.41631,0
46,8,holi,0.908697,0.895814,0.844311,0
47,1,sun,0.778826,0.51929,0.375684,0
47,2,mon,0.94296,0.926513,0.873446,1
47,3,tuth,1,1,1,1
47,6,fri,1.047571,1.022573,0.982363,1
47,7,sat,0.924251,0.665361,0.470516,0
47,8,holi,0.788233,0.826625,0.799189,0
48,1,sun,0.850906,0.443384,0.395765,0
48,2,mon,1.015513,0.934006,0.878355,1
48,3,tuth,1,1,1,1
48,6,fri,1.154726,1.02619,0.927397,1
48,7,sat,0.945809,0.563059,0.477527,0
48,8,holi,0.798987,0.774253,0.783617,0
49,1,sun,1.113685,0.629817,0.416305,0
49,2,mon,1.061478,0.941825,0.849043,1
49,3,tuth,1,1,1,1
49,6,fri,1.252833,1.044015,0.900497,1
49,7,sat,1.099528,0.734327,0.535185,0
49,8,holi,0.986415,0.910658,0.837218,0
50,1,sun,0.662753,0.357704,0.354639,0
50,2,mon,0.961001,0.908755,0.8901,1
50,3,tuth,1,1,1,1
50,6,fri,1.044529,0.981807,0.946741,1
50,7,sat,0.807068,0.519756,0.454439,0
50,8,holi,0.669004,0.665154,0.758358,0
51,1,sun,1.017492,0.477758,0.399525,0
51,2,mon,1.023917,0.941571,0.901908,1
51,3,tuth,1,1,1,1
51,6,fri,1.175535,1.021751,0.96029,1
51,7,sat,1.105315,0.602096,0.476273,0
51,8,holi,0.865507,0.8334,0.832186,0
52,1,sun,0.932602,0.500295,0.393336,0
52,2,mon,0.983979,0.917706,0.907683,1
52,3,tuth,1,1,1,1
52,6,fri,1.12786,1.086452,0.976213,1
52,7,sat,1.035008,0.656542,0.46637,0
52,8,holi,0.907295,0.769997,0.756659,0
53,1,sun,0.932602,0.500295,0.393336,0
53,2,mon,0.983979,0.917706,0.907683,1
53,3,tuth,1,1,1,1
53,6,fri,1.12786,1.086452,0.976213,1
53,7,sat,1.035008,0.656542,0.46637,0
53,8,holi,0.907295,0.769997,0.756659,0
54,1,sun,1.001748,0.593352,0.421376,0
54,2,mon,1.008847,0.957537,0.903504,1
54,3,tuth,1,1,1,1
54,6,fri,1.184663,1.102669,0.970233,1
54,7,sat,1.055062,0.712575,0.476738,0
54,8,holi,0.977001,0.896643,0.796876,0
55,1,sun,1.028995,0.429032,0.184547,0
55,2,mon,1.052173,0.936376,0.911821,1
55,3,tuth,1,1,1,1
