REGION,Day,DOW,LD,LM,HH,SBUS
32,1,sun,1.076355,0.822615,0.626943,0.0
32,2,mon,0.939053,1.006929,0.660128,1.0
32,3,tuth,1.0,1.0,1.0,1.0
32,6,fri,1.077667,1.155505,0.773625,1.0
32,7,sat,1.117223,0.863252,0.718551,0.0
32,8,holi,0.902383,0.83651,0.601647,0.0
33,1,sun,1.007962,0.589339,0.55722564,0.0
33,2,mon,0.979063,0.948271,0.94579184,1.0
33,3,tuth,1.0,1.0,1.0,1.0
33,6,fri,1.129948,1.032779,0.9973344,1.0
33,7,sat,1.090781,0.719439,0.6753758,0.0
33,8,holi,0.908697,0.895814,0.66063446,0.0
34,1,sun,0.971756,0.667865,0.602143,0.0
34,2,mon,0.988014,0.977286,0.942518,1.0
34,3,tuth,1.0,1.0,1.0,1.0
34,6,fri,1.177729,1.100838,0.962929,1.0
34,7,sat,1.037113,0.786044,0.575321,0.0
34,8,holi,0.97057,0.93275,0.92117,0.0
35,1,sun,1.076355,0.822615,0.626943,0.0
35,2,mon,0.939053,1.006929,0.660128,1.0
35,3,tuth,1.0,1.0,1.0,1.0
35,6,fri,1.077667,1.155505,0.773625,1.0
35,7,sat,1.117223,0.863252,0.718551,0.0
35,8,holi,0.902383,0.83651,0.601647,0.0
36,1,sun,0.90182,0.562894,0.5879002,0.0
36,2,mon,0.971559,0.953884,0.9499264,1.0
36,3,tuth,1.0,1.0,1.0,1.0
36,6,fri,1.098562,1.045345,1.0230665,1.0
36,7,sat,0.992376,0.669136,0.70216566,0.0
36,8,holi,0.894875,0.883252,0.6403075,0.0
37,1,sun,0.971756,0.667865,0.602143,0.0
37,2,mon,0.988014,0.977286,0.942518,1.0
37,3,tuth,1.0,1.0,1.0,1.0
37,6,fri,1.177729,1.100838,0.962929,1.0
37,7,sat,1.037113,0.786044,0.575321,0.0
37,8,holi,0.97057,0.93275,0.92117,0.0
38,1,sun,0.796442,0.531875,0.49403888,0.0
38,2,mon,0.963483,0.927995,0.94526297,1.0
38,3,tuth,1.0,1.0,1.0,1.0
38,6,fri,1.067028,1.021742,1.0235453,1.0
38,7,sat,0.928491,0.665129,0.6629366,0.0
38,8,holi,0.807724,0.784768,0.57666004,0.0
39,1,sun,0.79679,0.495819,0.58491355,0.0
39,2,mon,0.948027,0.91867,0.9474336,1.0
39,3,tuth,1.0,1.0,1.0,1.0
39,6,fri,1.050755,1.014307,0.99023914,1.0
39,7,sat,0.928747,0.61767,0.7155917,0.0
39,8,holi,0.797451,0.866195,0.6542478,0.0
40,1,sun,0.778705,0.519234,0.5545784,0.0
40,2,mon,0.942861,0.926444,0.9532673,1.0
40,3,tuth,1.0,1.0,1.0,1.0
40,6,fri,1.047408,1.022462,0.9849961,1.0
40,7,sat,0.924107,0.665289,0.70224714,0.0
40,8,holi,0.78811,0.826536,0.6212091,0.0
41,1,sun,0.778705,0.519234,0.44424775,0.0
41,2,mon,0.942861,0.926444,0.94214416,1.0
41,3,tuth,1.0,1.0,1.0,1.0
41,6,fri,1.047408,1.022462,0.9404443,1.0
41,7,sat,0.924107,0.665289,0.5745369,0.0
41,8,holi,0.78811,0.826536,0.54039115,0.0
42,1,sun,1.027669,0.624157,0.5241294,0.0
42,2,mon,0.98927,0.94963,0.9741878,1.0
42,3,tuth,1.0,1.0,1.0,1.0
42,6,fri,1.125866,1.041329,1.0107032,1.0
42,7,sat,1.118159,0.742824,0.6412706,0.0
42,8,holi,0.952331,0.905023,0.5838864,0.0
43,1,sun,0.85223,0.521914,0.389767,0.0
43,2,mon,0.928327,0.896917,0.887473,1.0
43,3,tuth,1.0,1.0,1.0,1.0
43,6,fri,1.050142,1.002162,0.980135,1.0
43,7,sat,0.957358,0.639436,0.451885,0.0
43,8,holi,0.783057,0.81057,0.840369,0.0
44,1,sun,0.713955,0.439377,0.61401385,0.0
44,2,mon,0.925583,0.890295,0.9372747,1.0
44,3,tuth,1.0,1.0,1.0,1.0
44,6,fri,1.019605,0.982584,1.0078108,1.0
44,7,sat,0.834414,0.549603,0.7712596,0.0
44,8,holi,0.780038,0.742034,0.65470773,0.0
45,1,sun,0.733849,0.488946,0.5923168,0.0
45,2,mon,0.953763,0.908654,0.9414048,1.0
45,3,tuth,1.0,1.0,1.0,1.0
45,6,fri,1.041541,1.004055,0.9904142,1.0
45,7,sat,0.85294,0.614185,0.7261344,0.0
45,8,holi,0.765052,0.833732,0.63754934,0.0
46,1,sun,1.007962,0.589339,0.55722564,0.0
46,2,mon,0.979063,0.948271,0.94579184,1.0
46,3,tuth,1.0,1.0,1.0,1.0
46,6,fri,1.129948,1.032779,0.9973344,1.0
46,7,sat,1.090781,0.719439,0.6753758,0.0
46,8,holi,0.908697,0.895814,0.66063446,0.0
47,1,sun,0.778705,0.519234,0.44424775,0.0
47,2,mon,0.942861,0.926444,0.94214416,1.0
47,3,tuth,1.0,1.0,1.0,1.0
