CO,CO,CO,1,28,1
72,TOG,PACD,6.5546E-08,1,0.0000096
72,TOG,TERP,5.2734E-08,1,0.0000072
72,TOG,ALK3,6.5513E-09,1,0.0000007
72,TOG,MVK,3.4156E-09,1,0.0000005
72,TOG,NROG,2.3900E-05,1,0.0000239
76,TOG,ALK4,2.3509E-03,1,0.1935691
76,TOG,ALK3,1.1553E-03,1,0.0715486
76,TOG,ALK5,2.2804E-03,1,0.2613705
76,TOG,OLE2,6.6250E-05,1,0.0089589
76,TOG,OLE1,8.7997E-06,1,0.0012494
76,TOG,ALK2,4.0843E-04,1,0.0180100
76,TOG,PRD2,8.7087E-06,1,0.0012107
76,TOG,OXYL,3.7517E-04,1,0.0398300
76,TOG,MXYL,3.8553E-04,1,0.0409300
76,TOG,PXYL,3.5351E-04,1,0.0375300
76,TOG,ARO1,4.1899E-04,1,0.0463716
76,TOG,B124,9.1625E-06,1,0.0011013
76,TOG,ARO2,2.8023E-05,1,0.0034214
76,TOG,BENZ,1.5756E-03,1,0.1230700
76,TOG,TOLU,5.5059E-04,1,0.0507300
76,TOG,CRES,5.8318E-06,1,0.0009017
76,TOG,APIN,7.8018E-07,1,0.0001063
76,TOG,PACD,4.9169E-08,1,0.0000072
76,TOG,TERP,3.9559E-08,1,0.0000054
76,TOG,MVK,2.5622E-09,1,0.0000004
76,TOG,NROG,1.0008E-01,1,0.1000780
78,TOG,ALK1,1.0105E-02,1,1.0000000
79,TOG,OLE2,1.1196E-03,1,0.0785000
79,TOG,OLE1,1.6038E-03,1,0.0935000
79,TOG,ETHE,7.6997E-03,1,0.2160000
79,TOG,PRPE,2.1388E-03,1,0.0900000
79,TOG,ACYE,3.8407E-04,1,0.0100000
79,TOG,ALK5,9.4271E-04,1,0.0590000
79,TOG,MEOH,1.6853E-03,1,0.0540000
79,TOG,ETOH,3.0390E-04,1,0.0140000
79,TOG,ALK4,4.1601E-04,1,0.0250000
79,TOG,HCHO,5.6618E-04,1,0.0170000
79,TOG,CCHO,1.5890E-04,1,0.0070000
79,TOG,RCHO,1.1095E-04,1,0.0080000
79,TOG,ALK2,1.3571E-03,1,0.0860000
79,TOG,OXYL,3.0613E-05,1,0.0032500
79,TOG,MXYL,3.0613E-05,1,0.0032500
79,TOG,PXYL,3.0613E-05,1,0.0032500
79,TOG,ARO1,1.0886E-04,1,0.0162500
79,TOG,BENZ,1.2802E-03,1,0.1000000
79,TOG,TOLU,4.4498E-04,1,0.0410000
79,TOG,CRES,2.1252E-04,1,0.0200000
79,TOG,NROG,5.5000E-02,1,0.0550000
85,TOG,ALK1,6.0302E-03,1,1.0000000
86,TOG,ALK5,6.9432E-03,1,0.9628749
86,TOG,ALK4,2.8358E-04,1,0.0361250
86,TOG,ALK3,8.7543E-06,1,0.0010000
87,TOG,NROG,1.0000E+00,1,1.0000000
90,TOG,TOLU,1.0853E-02,1,1.0000000
96,TOG,ALK5,2.7834E-03,1,0.3858750
