0,CO,CO
0,NH3,NH3
28888801,1103,PM
28888801,9,TOG
28888802,1103,PM
28888802,9,TOG
28888803,1103,PM
28888803,9,TOG
30100101,311,PM
30100101,600,TOG
30100102,311,PM
30100102,600,TOG
30100104,311,PM
30100104,600,TOG
30100105,311,PM
30100105,600,TOG
30100199,311,PM
30100199,1404,TOG
30100201,311,PM
30100201,600,TOG
30100202,311,PM
30100202,600,TOG
30100303,311,PM
30100303,600,TOG
30100305,311,PM
30100305,1404,TOG
30100306,311,PM
30100306,600,TOG
30100308,311,PM
30100308,1404,TOG
30100310,311,PM
30100310,1404,TOG
30100399,311,PM
30100399,1404,TOG
30100401,311,PM
30100401,600,TOG
30100502,311,PM
30100502,787,TOG
30100504,311,PM
30100504,787,TOG
30100505,311,PM
30100505,787,TOG
30100506,311,PM
30100506,787,TOG
30100507,311,PM
30100507,787,TOG
30100508,311,PM
30100508,787,TOG
30100509,311,PM
30100509,787,TOG
30100599,311,PM
30100599,787,TOG
30100601,311,PM
30100601,600,TOG
30100602,311,PM
30100602,600,TOG
30100603,900,PM
30100603,600,TOG
30100604,311,PM
30100604,600,TOG
30100605,311,PM
30100605,600,TOG
30100606,1103,PM
30100606,600,TOG
30100699,311,PM
30100699,1404,TOG
30100705,311,PM
30100705,1404,TOG
30100708,311,PM
30100708,1404,TOG
30100799,311,PM
30100799,1404,TOG
30100803,311,PM
30100803,1404,TOG
30100804,311,PM
30100804,1404,TOG
30100899,311,PM
30100899,1404,TOG
30100901,311,PM
30100901,1417,TOG
30100902,311,PM
30100902,1417,TOG
30100907,311,PM
30100907,1417,TOG
30100909,311,PM
30100909,1417,TOG
30100910,311,PM
30100910,1417,TOG
30100999,311,PM
30100999,1404,TOG
30101001,311,PM
30101001,600,TOG
30101010,311,PM
30101010,1404,TOG
30101011,90002,PM
30101011,1404,TOG
30101030,2204,PM
30101030,600,TOG
30101046,311,PM
30101046,1404,TOG
30101101,311,PM
30101101,600,TOG
30101102,311,PM
30101102,600,TOG
30101198,311,PM
30101198,1404,TOG
30101199,311,PM
30101199,1404,TOG
30101201,311,PM
30101201,600,TOG
30101202,311,PM
30101202,600,TOG
30101299,311,PM
30101299,1404,TOG
30101301,311,PM
30101301,1404,TOG
30101302,311,PM
30101302,1404,TOG
30101303,311,PM
30101303,1404,TOG
30101304,311,PM
30101304,1404,TOG
30101399,311,PM
30101399,1404,TOG
30101401,311,PM
30101401,783,TOG
30101402,311,PM
30101402,783,TOG
30101403,311,PM
30101403,783,TOG
30101404,900,PM
30101404,783,TOG
30101430,311,PM
30101430,783,TOG
30101431,311,PM
30101431,783,TOG
30101450,311,PM
30101450,783,TOG
30101454,311,PM
30101454,783,TOG
30101460,311,PM
30101460,783,TOG
30101472,311,PM
30101472,783,TOG
30101498,311,PM
30101498,783,TOG
30101499,311,PM
30101499,783,TOG
30101501,311,PM
30101501,66,TOG
30101503,311,PM
30101503,66,TOG
30101505,311,PM
30101505,66,TOG
30101510,311,PM
30101510,66,TOG
30101599,311,PM
30101599,66,TOG
30101601,311,PM
30101601,1404,TOG
30101602,345,PM
