0,PM10,PM10
0,PM25,PM25
0,DPM10,DPM10
0,DPM25,DPM25
0,CO,CO
0,NH3,NH3
0,SOX,SOX
0,DEFNOX,NOX
74676854107013,473,PM
74676854107013,600,TOG
74676854107016,473,PM
74676854107016,600,TOG
74676854107017,473,PM
74676854107017,600,TOG
74676854107018,473,PM
74676854107018,600,TOG
74676854107019,473,PM
74676854107019,600,TOG
74676854107020,473,PM
74676854107020,600,TOG
74676854107021,473,PM
74676854107021,600,TOG
74676854107024,473,PM
74676854107024,600,TOG
74676854107025,473,PM
74676854107025,600,TOG
74676854107026,473,PM
74676854107026,600,TOG
74676854107027,473,PM
74676854107027,600,TOG
74676854107028,473,PM
74676854107028,600,TOG
74676854107029,473,PM
74676854107029,600,TOG
74676854107030,473,PM
74676854107030,600,TOG
74676854107031,473,PM
74676854107031,600,TOG
75070111000000,4002,PM
75070111000000,666,TOG
75070211000000,4002,PM
75070211000000,666,TOG
75070411000000,4002,PM
75070411000000,666,TOG
75070611000000,4002,PM
75070611000000,665,TOG
75070811000000,2204,PM
75070811000000,2315,TOG
75071011000000,2204,PM
75071011000000,2317,TOG
75071211000000,2204,PM
75071211000000,2315,TOG
75071411000000,2204,PM
75071411000000,2317,TOG
75071611000000,4002,PM
75071611000000,665,TOG
75071802480000,472,PM
75071802480000,600,TOG
75072054100000,473,PM
75072054100000,600,TOG
75073111000000,4001,PM
75073111000000,2302,TOG
75073411000000,4001,PM
75073411000000,2304,TOG
75073611000000,2204,PM
75073611000000,2315,TOG
75073811000000,2204,PM
75073811000000,2317,TOG
75074011000000,2204,PM
75074011000000,2315,TOG
75074211000000,2204,PM
75074211000000,2317,TOG
75074402480000,472,PM
75074402480000,600,TOG
75074654100000,473,PM
75074654100000,600,TOG
76076112100000,425,PM
76076112100000,818,TOG
76076412100000,425,PM
76076412100000,818,TOG
76076602480000,472,PM
76076602480000,600,TOG
76076854100000,473,PM
76076854100000,600,TOG
76270111000000,4002,PM
76270111000000,666,TOG
76270611000000,4002,PM
76270611000000,665,TOG
76270811000000,2204,PM
76270811000000,2315,TOG
76271011000000,2204,PM
76271011000000,2317,TOG
76271211000000,2204,PM
76271211000000,2315,TOG
76271411000000,2204,PM
76271411000000,2317,TOG
76271611000000,4002,PM
76271611000000,665,TOG
76271802480000,472,PM
76271802480000,600,TOG
